Job_ID,Job_Title,Location,Company_ID,Company_Name,Industry,Employee_Count,LinkedIn_Followers,Class,Detail_ID,Emp_level,Total_Applicants
J1,Alyst/Sr. Alyst-Digital Product Alytics (SQL/Navisualization Tools),"Gurgaon, Harya,India",C1,American Express  ,Fincial Services ,10001,1701642,Class-1,1,Mid-Senior level,54
J10,Associate Data Alyst,"Hyderabad, Telangana,India",C7,"Neustar, Inc. ",Information Technology & Services,10001,67636,Class-1,10,Associate,200
J100,"Alyst, Master Data","Bengaluru, Kartaka,India",C85,Molex,Electrical & Electronic Manufacturing,10,151954,Class-1,71,Entry level,137
J101,Application Architect: AWS Cloud,"Pune, Maharashtra,India",C86,IBM ,Information Technology & Services,2467,14405435,Class-2,72,NULL,8
J102,Software Quality Senior Engineer,"Bengaluru, Kartaka,India",C87,Dell Technologies,Information Technology & Services,2,4170257,Class-3,73,NULL,25
J103,Data Alyst,"Mumbai, Maharashtra,India",C28,Hotstar,Computer Software ,32,719232,Class-1,13,Entry level,200
J104,Solutions Architect,"Noida, Uttar Pradesh,India",C88,IDEMIA ,Information Technology & Services,14,480426,Class-1,44,Mid-Senior level,70
J105,Alyst - Core Alytics - Power BI,"Thane, Maharashtra,India",C89,Randstad India,Human Resources,110,382650,Class-1,43,Full-time,200
J106,Google Alytics,"Bengaluru, Kartaka,India",C90,Quess IT Staffing ,Staffing & Recruiting,19,242803,Class-1,74,Mid-Senior level,55
J107,Data Alyst,"Ahmedabad, Gujarat,India",C91,Merito.in,Staffing & Recruiting,239,7486,Class-1,75,Executive,15
J108,Data Alyst,"Bengaluru, Kartaka,India",C92,Bayer ,Chemicals  ,29,4509594,Class-3,51,Entry level,197
J11,Business Alyst,"Hyderabad, Telangana,India",C8,Microsoft,Computer Software,13,17774440,Class-2,10,Associate,200
J110,Associate Data Alyst,"Bengaluru, Kartaka,India",C22,Novo Nordisk,Pharmaceuticals  ,10001,1302821,Class-1,40,NULL,200
J112,Data Alyst,"Mumbai, Maharashtra,India",C95,Media.net ,Internet  ,84,227081,Class-1,13,Entry level,200
J114,Content Intern,"Gurugram, Harya,India",C97,ARM Worldwide,Advertising Services,5,13671,Class-1,79,Entry-Level,5
J115,Content Writer Intern,"Delhi,India",C98,Kraft-Obench - WFH Pods | Home Offices | Sound Insulated Work Pods,Furniture and Home Furnishings Manufacturing,1,2110,Class-1,80,Entry-Level,10
J116,Content Writer,"Gurgaon, Harya,India",C99,T and T Realty Services Private Limited,Real Estate,50,3648,Class-1,81,Entry-Level,15
J117,SEO Content Writer Intern,"New Delhi, Delhi,India",C100,SkyTrust IT Solutions,Advertising Services,5,946,Class-1,82,Entry-Level,2
J118,Digital marketing,"Delhi,India",C101,Bizgurukul,Advertising Services,15,39172,Class-1,83,Entry-Level,20
J119,Digital Marketing Intern,"Navi Mumbai, Maharashtra,India",C102,Valves Only,Industrial Machinery Manufacturing,2,2668,Class-1,84,Entry-Level,23
J12,Growth Alyst,"Pune, Maharashtra,India",C9,Turing.com,Information Technology & Services,50,127941,Class-1,11,NULL,70
J120,Student,"New Delhi, Delhi,India",C103,The Golden Rise,Wellness and Fitness Services,22,11317,Class-1,85,NULL,0
J121,Content Writer,"Gurugram, Harya,India",C104,Supergrad,"echnology, Information and Internet",50,1146,Class-1,58,NULL,5
J122,Recruitment fresher,"Maharashtra,India",C105,Student Inc.,Education Administration Programs,10001,13694,Class-1,72,NULL,8
J123,Junior Marketing Mager,"Delhi,India",C106,Crepdog Crew,Retail Apparel and Fashion,50,2469,Class-1,86,Mid-Level,33
J124,Social Media Marketing Intern,"Gurugram, Harya,India",C107,RecruitNXT,IT Services and IT Consulting,200,26396,Class-1,87,Entry-Level,9
J125,Content Writer,"New Delhi, Delhi,India",C108,Phixman,"Technology, Information and Internet",200,2812,Class-1,88,Entry-Level,8
J126,Content Writer Intern,India,C109,Instamedz,Wellness and Fitness Services,50,3461,Class-1,89,Entry-Level,43
J127,Paid Training + Free Project & Internship,India,C110,Coincent.ai,E-Learning Providers,200,10426,Class-1,90,Entry-Level,2
J128,Content Writer,"Delhi,India",C111,Vivaci Luxury Pvt. Ltd.,Advertising Services,50,2055,Class-1,91,Entry-Level,10
J129,Human Resources Intern,"Delhi,India",C107,RecruitNXT,IT Services and IT Consulting,5,26396,Class-1,92,Entry-Level,4
J13,"Alyst, Inventory Optimization","Gurgaon, Harya,India",C10,Stryker,Medical Device,10,981227,Class-1,12,Associate,7
J130,Communications Assistant,"South Delhi, Delhi,India",C112,VRAKSH,Events Services,0,1171,Class-1,93,Mid-Level,4
J131,Student,"Gurugram, Harya,India",C113,EntreLeadership,Business Consulting and Services,5000,34034,Class-1,94,Entry-Level,12
J132,Social Media Magement Intern,"Mumbai, Maharashtra,India",C114,4WD Gaming,Public Relations and Marketing Agency,10001,13,Class-1,95,Associate,15
J133,Operations Internship in Gurgaon at Vplak,"Gurgaon, Harya,India",C115,VPLAK,Computers and Electronics Manufacturing,200,1172,Class-1,96,Entry-Level,10
J134,Digital marketing,"Preet Navihar, Delhi,India",C116,Achievers Club (Digital network Marketing),Advertising Services,10,745,Class-1,97,Entry-Level,18
J135,Paid Certificate & Guarantee Internship,India,C110,Coincent.ai,E-Learning Providers,200,10426,Class-1,98,Entry-Level,12
J136,IT Business Development Executive (Intern/Fresher) - 3 Openings Ahmedabad,Greater Ahmedabad Area,C117,Codage Habitation,Information Services ,1000,17,Class-1,99,Mid-Level,10
J137,Content Writer,"Noida, Uttar Pradesh,India",C118,Spell Web InfoTech,IT Services and IT Consulting,500,615,Class-1,90,Entry-Level,2
J138,Intern,"Delhi,India",C119,Aarka Sports Magement Pvt. Ltd.,Sports,1038,132,Class-1,100,entry-Level,12
J139,Human Resources Intern,"Delhi,India",C120,MARS Exploration Pvt Ltd,Aviation & Aerospace,200,529,Class-1,101,Mid-Level,25
J14,Alyst-Data Science,"Gurgaon, Harya,India",C1,American Express  ,Fincial Services ,200,1701642,Class-1,13,Entry level,200
J140,Business Development,"Delhi,India",C121,Teamwork Communications Group,Public Relations & Communications,120,56,Class-1,102,Entry-Level,11
J141,Navirtual Assistant,"Delhi,India",C122,Growup Outsourcing,Outsourcing/Offshoring,5,6,Class-1,100,entry-Level,12
J142,Digital Marketing Intern,"Noida, Uttar Pradesh,India",C123,7 STAR MEDTECH PVT. LTD.,Marketing & Advertising,10001,9,Class-1,103,Mid-Level,50
J143,Digital Marketing Internship,"Uppal, Telangana,India",C124,KBK Business Solutions,Information Technology & Services,1274,25,Class-1,104,Entry-Level,0
J144,Social Media Expert,"Noida, Uttar Pradesh,India",C125,StartupFlux,Information Technology & Services ,500,23,Class-1,84,Entry-Level,23
J145,Fresher,Greater Delhi Area,C126,"""Work From Home""",Human Resources Services,200,2073841,Class-1,104,Entry-Level,0
J146,Internet Content Mager,India,C127,Tax Advisory,Legal Services ,1274,3,Class-1,105,Entry-Level,28
J147,Content Writer,"Delhi,India",C128,Digiwebcore,Information Technology & Services,239,1339,Class-1,106,Entry-Level,5
J148,Digital marketing intern,India,C129,ILP Overseas | Intertiol Learning Planners,Education Magement,200,708,Class-1,107,Mid-Level,25
J149,Recruitment,"Agra, Uttar Pradesh,India",C130,Work From Home Opportunity,E-learning,5000,3018,Class-1,108,Mid-Level,48
J150,Content Writer,"New Delhi, Delhi,India",C131,Flash Me Right,Information Technology & Services,500,7,Class-1,109,Entry-Level,25
J151,Content Writer,"Gurugram, Harya,India",C132,PR Professiols,Public Relations & Communications ,500,56,Class-1,110,Entry-Level,98
J152,Content Writer,"Kolkata, West Bengal,India",C133,Collegedunia,Information Technology & Services,1000,1444,Class-1,111,Entry-Level,0
J153,Search Engine Optimization Executive,"Noida, Uttar Pradesh,India",C134,Flexsin,Information Technology & Services,10001,401,Class-1,112,Mid-Level,34
J154,Associate,"Noida, Uttar Pradesh,India",C135,KnowledgeWorks Global Ltd.,Book and Periodical Publishing,50,3039,Class-1,113,NULL,35
J155,Social Media Marketing Intern,"New Delhi, Delhi,India",C136,WhizCo,Online Media,50,133,Class-1,114,NULL,6
J156,Digital Marketing Intern,India,C137,Corizo,E-learning,500,136,Class-1,115,NULL,0
J157,Human Resources Intern,"Delhi,India",C138,Team4progress technologies,Information Technology & Services,50,25,Class-1,100,entry-Level,12
J158,Student,"Pune, Maharashtra,India",C103,The Golden Rise,Wellness and Fitness Services,1000,11317,Class-1,116,Entry-Level,22
J159,Employee,"New Delhi, Delhi,India",C139,ONLINE WORK FROM HOME,Human Resources Services,10001,2073928,Class-1,111,Entry-Level,0
J160,Fresher,Greater Delhi Area,C140,Work From Home/ Fresher & Experience Jobs,Human Resources Services,10,229016,Class-1,117,NULL,1
J161,Human Resources Intern,"Delhi,India",C129,ILP Overseas | Intertiol Learning Planners,Education Magement,294536,708,Class-1,115,NULL,0
J162,Fundraiser Internship,"Delhi,India",C141,Mantra Care,Hospital & Health Care ,50,76,Class-1,115,NULL,0
J163,Digital Marketing Intern,India,C142,Lernx,E-learning,500,262,Class-1,118,Entry-Level,1
J164,Fresher,"New Delhi, Delhi,India",C126,"""Work From Home""",Human Resources Services,200,2073841,Class-1,119,NULL,4
J165,Student,"Noida, Uttar Pradesh,India",C103,The Golden Rise,Wellness and Fitness Services,10000,11317,Class-1,116,Entry-Level,22
J166,Students and freshers,"Delhi,India",C143,WORK FROM HOME/DIGITAL OPPORTUNITY,Human Resources Services,500,229016,Class-1,117,NULL,1
J167,Volunteer,"Delhi,India",C144,GreenBhumi,Environmental Services,5000,24806,Class-1,120,Entry-Level,0
J168,Technical content writer,"Noida, Uttar Pradesh,India",C145,Apponward Technologies,Information Technology & Services,200,30,Class-1,104,Entry-Level,0
J169,Sales And Marketing Intern,India,C129,ILP Overseas | Intertiol Learning Planners,Education Magement,200,708,Class-1,121,Entry-Level,29
J170,Assistant Mager,"Noida, Uttar Pradesh,India",C146,Kalkine Media Australia,Education Magement ,51,42703,Class-1,122,NULL,7
J171,Content Writer,"Noida, Uttar Pradesh,India",C147,Appy Pie,Information Technology & Services ,9,15051,Class-1,123,Entry-Level,27
J172,Freelance,India,C148,Clarity,"Health, Wellness & Fitness",50,27366,Class-1,124,Entry-Level,33
J173,B.com/ Bca Student,"New Delhi, Delhi,India",C149,work from anywhere,"Health, Wellness & Fitness",10,54517,Class-1,125,Mid-Senior-Level,159
J174,Social Media Content Writer,"Gurugram, Harya,India",C150,CUR8,Computer Software,200,18857,Class-1,126,NULL,32
J175,Sales Mager,"Delhi,India",C151,Karyarth,Magement Consulting,10001,15156,Class-1,56,NULL,26
J176,Marketing Intern,"Ahmedabad, Gujarat,India",C152,Connplex,Entertainment,279,795,Class-1,127,NULL,14
J177,Listener or Freelancer,India,C148,Clarity,"Health, Wellness & Fitness",500,27366,Class-1,128,NULL,65
J178,Online work for freshers,India,C153,Ascent BPO Services Pvt. Ltd.,Outsourcing/Offshoring,8,13050,Class-1,129,NULL,0
J179,Operation internship,India,C154,Suvidha Foundation (Suvidha Mahila Mandal),Non-profit Organization Magement,2,49516,Class-1,130,Entry-Level,19
J180,Process Associate - Content Moderation - Marathi + English-HIG010759,"Hyderabad, Telangana,India",C155,Genpact,Information Technology & Services,236,2032291,Class-1,100,entry-Level,12
J181,Influencer Marketing Intern,"Guwahati, Assam,India",C156,Madify,Marketing & Advertising ,50,565,Class-1,114,NULL,6
J182,Listener/Freelancer,India,C148,Clarity,"Health, Wellness & Fitness",0,27366,Class-1,131,Entry-Level,25
J183,Associate,"Gurugram, Harya,India",C157,Wipro,IT Services and IT Consulting,50,6072255,Class-3,132,Entry-Level,201
J184,Trainee Marketing Automation Executive,"Noida, Uttar Pradesh,India",C158,Third Eye Automation Pvt. Ltd,Marketing & Advertising ,0,96,Class-1,133,Entry-Level,9
J185,Student,"New Delhi, Delhi,India",C159,Part Time & Freelancing,Magement Consulting,200,17460,Class-1,134,NULL,19
J186,Freshers / Graduates (Off Campus - BE / B.Tech - 2022 Passouts),"Bengaluru, Kartaka,India",C160,Hitachi Vantara,Information Technology & Services,10001,497397,Class-1,135,NULL,201
J187,Business Development Intern,"Gurugram, Harya,India",C161,Antino,Information Technology & Services,5000,15139,Class-1,136,NULL,13
J188,Student,"New Delhi, Delhi,India",C159,Part Time & Freelancing,Magement Consulting,50,17460,Class-1,137,NULL,18
J189,Business Development Executive,"Gurugram, Harya,India",C162,Square Yards,Real Estate,10001,207509,Class-1,104,Entry-Level,0
J19,Alyst - Reporting,"Bengaluru, Kartaka,India",C14,dentsu intertiol,Marketing & Advertising ,200,647910,Class-1,18,Associate,10
J190,Content and Research marketing Internship,India,C163,Project C Foundation - We Care For Your Mental Health,Non-profit Organization Magement,200,6983,Class-1,138,NULL,19
J191,Freshers,"New Delhi, Delhi,India",C164,Health & Wellness Industry,"Health, Wellness & Fitness ",10001,20578,Class-1,85,NULL,0
J192,Social Media Marketing Internship in Multiple locations at PeakPals,"Delhi, Delhi,India",C165,PeakPals,"Health, Wellness & Fitness",5640,4037,Class-1,139,NULL,4
J193,Digital Marketing Internship in Delhi at Yokins Instruments Private Limited,"Delhi, Delhi,India",C166,Yokins Instruments Pvt Ltd,"Appliances, Electrical, and Electronics Manufacturing",50,93,Class-1,140,NULL,9
J194,Social Media Marketing part time job/internship at Delhi in Kapable.club,"Delhi, Delhi,India",C167,Kapable,E-learning ,10,12717,Class-1,141,NULL,1
J195,Fince Intern,India,C168,MBA Hub,E-learning,53,26284,Class-1,115,NULL,0
J196,Social Media Marketing Internship in Noida at Wildlife Trust OfIndia,"Noida, Uttar Pradesh,India",C169,Wildlife Trust of India,Non-profit Organization Magement,10001,8403,Class-1,142,NULL,2
